"資料集提供機關","資料集名稱","瀏覽次數","下載次數","資料集評分"
"行政院環境保護署","空氣污染防制區範圍圖","4585","684","5.0"
"行政院環境保護署","空氣品質區範圍圖","4723","971","4.0"
"行政院環境保護署","環境噪音監測站位置圖","2481","354",""
"行政院環境保護署","土壤319公頃_調查區一公頃範圍圖","2886","422",""
"行政院環境保護署","土壤319公頃_一公頃一採樣點位置圖","2720","364",""
"行政院環境保護署","土壤污染管制區範圍圖","5177","733",""
"行政院環境保護署","垃圾掩埋場位置圖","4558","827",""
"行政院環境保護署","垃圾掩埋場復育場址位置圖","3631","397",""
"行政院環境保護署","垃圾掩埋場範圍圖","4355","547",""
"行政院環境保護署","焚化爐廠區範圍圖","2353","428",""
"行政院環境保護署","公害陳情案件分佈位置圖","4293","590","2.0"
"行政院環境保護署","公害陳情警示區域範圍圖","3185","493","4.0"
"行政院環境保護署","環保專案摘要資料","2374","327","5.0"
"行政院環境保護署","區域性地下水水質監測井基本資料","7607","1053","4.0"
"行政院環境保護署","水庫水質監測點基本資料","2880","711","5.0"
"行政院環境保護署","海域水質監測點基本資料","2299","589",""
"臺南市政府","臺南市國中小學區列表","2347","205",""
"臺南市政府","臺南市政府工務局管線案件列表","2105","148",""
"衛生福利部國民健康署","癌症發生統計","21296","3204","4.0"
"經濟部工業局","遊戲軟體分級","3885","577","3.0"
"經濟部貿易調查委員會","反傾銷稅案件之產業損害調查處理情形","2497","324",""
"文化部文化資產局","文資局文化景觀","4681","1689","3.0"
"經濟部加工出口區管理處","加工出口區近年進出口貿易值","3067","542","2.5"
"行政院農業委員會","全國休閒農業區旅遊資訊","5541","1764","3.5"
"勞動部勞工保險局","國民年金保險被保險人應負擔保險費金額表","2963","269",""
"勞動部勞工保險局","勞保局出版品","2297","401",""
"行政院公共工程委員會","採購專業人員訓練班代訓機構招生中開課清單","2205","131","2.0"
"行政院公共工程委員會","近1年工程採購案廠商於同一機關得標20件以上之廠商及機關名","2571","162","5.0"
"行政院公共工程委員會","優良廠商名單","7858","1004","5.0"
"衛生福利部國民健康署","各醫院癌症資源中心","3998","533","3.5"
"行政院農業委員會","來到農村住一晚-休閒農場住宿資訊","5715","1258","4.0"
"行政院農業委員會","全國漁會產品資訊","2419","345",""
"勞動部勞動力發展署","微型創業鳳凰諮詢顧問名單","5604","587","2.0"
"行政院","行政院院會決議","2517","287",""
"行政院","行政院即時新聞","3862","770",""
"行政院","行政院消費者保護會-消費者保護新聞稿","2321","286",""
"行政院","行政院消費者保護會-消費資（警）訊","2628","391",""
"國立自然科學博物館","國立自然科學博物館展示資源","2098","176",""
"國立自然科學博物館","國立自然科學博物館最新消息","2169","206",""
"國立公共資訊圖書館","公共圖書館統計","4477","473",""
"國立公共資訊圖書館","國立公共資訊圖書館活動公告","2097","188",""
"國軍退除役官兵輔導委員會","退輔會全球資訊網站最新消息","3985","175",""
"國軍退除役官兵輔導委員會","退輔會福壽山農場網站最新消息","1944","139",""
"行政院主計總處","家庭收支重要指標","3997","715",""
"國軍退除役官兵輔導委員會","退輔會102年度榮民服務處進修訓練課程資訊","1868","134",""
"中央銀行","火焚、污破損新臺幣券幣鑑定暨兌換作業","2297","152","5.0"
"中央銀行","國際投資部位統計","2300","167",""
"經濟部投資業務處","與我國簽署投資保障(證)協定國家一覽表","2263","266",""
"經濟部國際貿易局","海外服務業會展商情","4691","470",""
"經濟部智慧財產局","專利案件數量統計","5984","479","3.0"
"經濟部智慧財產局","商標案件數量統計","2146","243",""
"經濟部智慧財產局","商標專有名詞中英對照","2379","192",""
"經濟部礦務局","進口砂石裝卸量統計表","5093","719","2.0"
"經濟部水利署","水利署疏濬資訊(2013年9月以後)","3677","15203","4.5"
"經濟部能源局","已開業加氣站分布情況","3116","394","4.66666679382"
"經濟部能源局","澎湖低碳島電動機車充電站位置","4192","289","4.8"
"經濟部能源局","節能績優獎","2574","189","5.0"
"國家通訊傳播委員會","垃圾郵件攔阻數據統計","2275","308",""
"國家通訊傳播委員會","第二類電信業者名單及其營業項目","5613","413","2.25"
"國家通訊傳播委員會","無線調頻(FM)廣播電臺頻率及發射機位址","2471","232","3.0"
"國家通訊傳播委員會","無線調幅(AM)廣播電臺頻率及發射機位址","3118","229",""
"勞動部勞工保險局","勞工退休金服務電話","1760","281",""
"勞動部勞工保險局","勞工保險局積欠工資墊償當年各月墊償統計資料","2650","272","1.5"
"勞動部勞動基金運用局","新制勞工退休基金歷年最近月份收益率","3461","853","3.0"
"經濟部國際貿易局","產證簽發單位相關資訊","3511","407","5.0"
"國立自然科學博物館","國立自然科學博物館學習資源","1950","160",""
"國立公共資訊圖書館","國立公共資訊圖書館期刊訂閱一覽表","2249","250",""
"國立公共資訊圖書館","國立公共資訊圖書館獎助博碩士論文","2352","306",""
"國立公共資訊圖書館","國立公共資訊圖書館聽視障資訊中心館藏目錄清單","2504","579",""
"國立科學工藝博物館","國立科學工藝博物館遺失物資訊","1668","164",""
"衛生福利部國民健康署","乳房X光攝影認證醫療機構","3254","277",""
"公平交易委員會","公平會101年度案件處理統計","1807","156",""
"公平交易委員會","公平會101年收辦案件-按性質別統計","2311","219",""
"公平交易委員會","公平會101年收辦案件辦結率統計","1766","167",""
"公平交易委員會","公平會101年檢舉案處理結果","1952","154",""
"公平交易委員會","公平會101年檢舉者及被檢舉者身分類別結構","1640","169",""
"公平交易委員會","公平會101年被檢舉者行業別結構","1693","126",""
"公平交易委員會","公平會101年涉及公平交易法之檢舉案件行為態樣統計","1808","218",""
"公平交易委員會","公平會101年檢舉案處分件數統計-按違反公平交易法行為別分","1434","161",""
"公平交易委員會","公平會101年請釋案處理概況","1545","154",""
"公平交易委員會","公平會101年請釋者身分類別結構","1652","234",""
"經濟部","優良市集","4463","442","4.33333320618"
"經濟部","綠色市集","3196","425","4.5"
"經濟部","認證名攤","3307","384","4.0"
"國立科學工藝博物館","國立科學工藝博物館科技教育活動課程","1936","295",""
"衛生福利部統計處","醫院病床統計","32545","4040","3.08333339691"
"衛生福利部統計處","醫院人力統計","6694","788","2.0"
"衛生福利部統計處","醫院科別統計","5560","648","5.0"
"衛生福利部統計處","診所人力統計","3316","380","3.0"
"衛生福利部統計處","診所科別統計","8115","1081","2.57142848969"
"文化部","文化部藝文活動-所有類別","4654","1539",""
"僑務委員會","華文教師回國研習班參加人數","1785","123",""
"僑務委員會","海外華裔青年各項活動人數","1559","110",""
"僑務委員會","北美地區海外民俗文化種子教師培訓班培訓人數","1431","112",""
"僑務委員會","獲得學行優良僑生獎學金人數(按學年度別分)統計","1858","117",""
"僑務委員會","海外華人人數","2818","210",""
"僑務委員會","清寒僑生工讀補助人次(按學年度別分)統計","1779","122",""
"僑務委員會","本會自行編製(印)華文教材","1737","166",""
"僑務委員會","海外華裔青（少）年暑期研習營人數","1399","114",""
"僑務委員會","海外華文教師研習會參加人數","1653","135",""
"僑務委員會","海外數位學習經營管理人員研習班參加人數","1745","135",""
"國家發展委員會","都市及區域發展統計彙編 ─ 2-1. 都市計畫區面積與人口數","3903","375",""
"國家發展委員會","都市及區域發展統計彙編 ─ 2-2. 都市計畫區土地使用分區面積","2610","249",""
"國家發展委員會","都市及區域發展統計彙編 ─ 2-3.非都市土地使用分區面積","2261","192",""
"國家發展委員會","都市及區域發展統計彙編 ─ 2-4. 非都市土地使用編定面積","1899","234",""
"國家發展委員會","都市及區域發展統計彙編 ─ 2-7. 水資源開發建設－主要水庫壩堰","1606","226",""
"國家發展委員會","都市及區域發展統計彙編 ─ 2-8. 國家公園設置情形","3586","217",""
"國家發展委員會","都市及區域發展統計彙編 ─ 2-9. 自然保留區及野生動物保護區設置情形","2025","154",""
"國家發展委員會","都市及區域發展統計彙編 ─ 2-10. 國家風景特定區設置情形","2138","151",""
"國家發展委員會","都市及區域發展統計彙編 ─ 3-1. 自來水普及率及用水量","3301","260","1.0"
"國家發展委員會","都市及區域發展統計彙編 ─ 3-2. 電燈用戶數與用電量","3255","336",""
"國家發展委員會","都市及區域發展統計彙編 ─ 4-1. 公路長度與面積","1661","160",""
"國家發展委員會","都市及區域發展統計彙編 ─ 4-2. 交通費用、汽車數及機車數","2770","381","1.0"
"國家發展委員會","都市及區域發展統計彙編 ─ 4-3觀光旅館分布.","3031","346",""
"國家發展委員會","都市及區域發展統計彙編 ─ 4-4. 國內主要觀光遊憩據點遊客人數","3678","489","5.0"
"國家發展委員會","都市及區域發展統計彙編 ─ 5-1. 醫師數及病床數","2733","323","5.0"
"國家發展委員會","都市及區域發展統計彙編 ─ 5-2. 醫師數及病床數按 主要都市分","1697","159",""
"國家發展委員會","都市及區域發展統計彙編 ─ 5-3.老人長期照護、養護及安養機構.","5419","516","1.5"
"國家發展委員會","都市及區域發展統計彙編 ─ 6-1. 歷年住宅投資","2235","146","3.0"
"國家發展委員會","都市及區域發展統計彙編 ─ 6-2.住宅支出","1950","154",""
"國家發展委員會","都市及區域發展統計彙編 ─ 6-3. 住宅狀況","2028","184",""
"國家發展委員會","都市及區域發展統計彙編 ─ 6-4. 整合住宅補貼資源實施方案補貼申請","2328","136",""
"國家發展委員會","都市及區域發展統計彙編 ─ 7-1. 空氣污染之測定結果","2220","221",""
"國家發展委員會","都市及區域發展統計彙編 ─ 7-2. 垃圾清運處理狀況","1862","191",""
"國家發展委員會","都市及區域發展統計彙編 ─ 7-3. 重要河川污染情形","1915","174",""
"國家發展委員會","都市及區域發展統計彙編 ─ 7-4. 污水處理率","1895","187","3.0"
"國家發展委員會","都市及區域發展統計彙編 ─ 8-1. 刑案件數、道路交通事故、火災發生次數及消防設備","2955","269",""
"國家發展委員會","都市及區域發展統計彙編 ─ 9-1. 教育程度及書報雜誌","1872","158",""
"國家發展委員會","都市及區域發展統計彙編 ─ 9-2. 各級學校數","1744","191",""
